timestamp_iso,unix_ts,cpu_pct,mem_mb,pids,db_mem_mb
2026-06-09T18:42:34.520868,1781052154.521,0.210,44.250,12,0.000
2026-06-09T18:42:41.480372,1781052161.480,0.220,46.820,12,0.000
2026-06-09T18:42:47.516835,1781052167.517,34.950,309.800,12,0.000
2026-06-09T18:42:53.555155,1781052173.555,33.130,318.100,12,0.000
2026-06-09T18:43:00.514252,1781052180.514,0.050,342.300,12,0.000
2026-06-09T18:43:06.562494,1781052186.562,1.940,45.650,12,0.000
2026-06-09T18:43:12.616902,1781052192.617,0.420,55.880,12,0.000
2026-06-09T18:43:19.549161,1781052199.549,0.290,58.790,12,0.000
2026-06-09T18:43:25.607098,1781052205.607,0.290,60.800,12,0.000
2026-06-09T18:43:31.676981,1781052211.677,48.140,151.300,12,0.000
2026-06-09T18:43:37.725468,1781052217.725,1.410,151.900,12,0.000
2026-06-09T18:43:43.770102,1781052223.770,39.040,197.800,12,0.000
2026-06-09T18:43:50.512247,1781052230.512,29.830,211.000,12,0.000
2026-06-09T18:43:56.557563,1781052236.558,4.940,230.100,12,0.000
2026-06-09T18:44:02.605194,1781052242.605,2.980,195.000,12,0.000
2026-06-09T18:44:09.585916,1781052249.586,12.200,132.600,12,0.000
2026-06-09T18:44:15.621466,1781052255.621,129.110,390.300,12,0.000
2026-06-09T18:44:21.663456,1781052261.663,131.460,543.600,12,0.000
2026-06-09T18:44:27.708716,1781052267.709,125.720,799.600,12,0.000
2026-06-09T18:44:33.759957,1781052273.760,121.510,649.200,12,0.000
2026-06-09T18:44:40.569045,1781052280.569,155.950,335.700,12,0.000
2026-06-09T18:44:46.612765,1781052286.613,126.900,663.300,12,0.000
2026-06-09T18:44:52.651407,1781052292.651,106.850,1085.440,12,0.000
2026-06-09T18:44:59.508547,1781052299.509,162.970,661.500,12,0.000
2026-06-09T18:45:05.538531,1781052305.539,157.840,1247.232,12,0.000
2026-06-09T18:45:11.574647,1781052311.575,146.850,703.600,12,0.000
2026-06-09T18:45:17.609493,1781052317.609,144.210,921.000,12,0.000
2026-06-09T18:45:23.653380,1781052323.653,165.540,1022.000,12,0.000
2026-06-09T18:45:30.524422,1781052330.524,146.880,1489.920,12,0.000
2026-06-09T18:45:36.566862,1781052336.567,176.600,908.300,12,0.000
2026-06-09T18:45:42.597454,1781052342.597,180.260,1504.256,12,0.000
2026-06-09T18:45:49.524871,1781052349.525,130.030,1297.408,12,0.000
2026-06-09T18:45:55.568447,1781052355.568,71.100,1371.136,12,0.000
2026-06-09T18:46:01.604298,1781052361.604,62.120,560.400,12,0.000
2026-06-09T18:46:07.643573,1781052367.644,60.840,563.400,12,0.000
2026-06-09T18:46:13.677578,1781052373.678,55.310,565.700,12,0.000
2026-06-09T18:46:20.555642,1781052380.556,60.690,568.200,12,0.000
2026-06-09T18:46:26.602403,1781052386.602,59.010,583.000,12,0.000
2026-06-09T18:46:32.641704,1781052392.642,68.170,594.900,12,0.000
2026-06-09T18:46:39.554826,1781052399.555,68.080,605.500,12,0.000
2026-06-09T18:46:45.586941,1781052405.587,58.790,614.000,12,0.000
2026-06-09T18:46:51.618703,1781052411.619,61.630,621.600,12,0.000
2026-06-09T18:46:57.656003,1781052417.656,60.210,628.900,12,0.000
2026-06-09T18:47:03.686957,1781052423.687,61.080,635.800,12,0.000
2026-06-09T18:47:10.566632,1781052430.567,60.880,631.300,12,0.000
2026-06-09T18:47:16.594171,1781052436.594,62.870,632.100,12,0.000
2026-06-09T18:47:22.627536,1781052442.628,64.270,633.800,12,0.000
2026-06-09T18:47:29.566226,1781052449.566,58.570,635.000,12,0.000
2026-06-09T18:47:35.606001,1781052455.606,64.750,638.000,12,0.000
2026-06-09T18:47:41.642745,1781052461.643,62.890,612.800,12,0.000
