timestamp_iso,unix_ts,cpu_pct,mem_mb,pids,db_mem_mb
2026-06-09T15:28:42.356000,1781040522.356,0.230,78.710,7,0.000
2026-06-09T15:28:48.416000,1781040528.416,18.250,86.260,14,0.000
2026-06-09T15:28:55.246000,1781040535.246,2.650,86.550,14,0.000
2026-06-09T15:29:01.306000,1781040541.306,0.250,85.630,14,0.000
2026-06-09T15:29:07.350000,1781040547.350,10.910,110.500,7,0.000
2026-06-09T15:29:13.392000,1781040553.392,13.120,176.100,7,0.000
2026-06-09T15:29:19.432000,1781040559.432,16.510,256.600,7,0.000
2026-06-09T15:29:26.232000,1781040566.232,15.230,343.400,7,0.000
2026-06-09T15:29:32.273000,1781040572.273,16.200,414.500,7,0.000
2026-06-09T15:29:38.321000,1781040578.321,13.980,508.800,7,0.000
2026-06-09T15:29:45.256000,1781040585.256,15.290,504.600,7,0.000
2026-06-09T15:29:51.295000,1781040591.295,15.870,500.400,13,0.000
2026-06-09T15:29:57.413000,1781040597.413,15.780,496.300,13,0.000
2026-06-09T15:30:03.453000,1781040603.453,47.650,516.800,13,0.000
2026-06-09T15:30:09.503000,1781040609.503,25.850,570.900,13,0.000
2026-06-09T15:30:16.230000,1781040616.230,84.130,617.500,13,0.000
2026-06-09T15:30:22.281000,1781040622.281,83.260,622.500,7,0.000
2026-06-09T15:30:28.332000,1781040628.332,83.230,628.100,7,0.000
2026-06-09T15:30:35.237000,1781040635.237,82.750,633.200,7,0.000
2026-06-09T15:30:41.281000,1781040641.281,83.430,639.200,7,0.000
2026-06-09T15:30:47.322000,1781040647.322,83.520,645.700,7,0.000
2026-06-09T15:30:53.363000,1781040653.363,83.550,650.300,9,0.000
2026-06-09T15:30:59.401000,1781040659.401,82.590,656.600,9,0.000
2026-06-09T15:31:06.273000,1781040666.273,81.460,661.900,9,0.000
2026-06-09T15:31:12.323000,1781040672.323,83.460,666.900,9,0.000
2026-06-09T15:31:18.365000,1781040678.365,82.890,672.500,7,0.000
2026-06-09T15:31:25.251000,1781040685.251,81.960,679.200,7,0.000
2026-06-09T15:31:31.287000,1781040691.287,80.930,683.300,7,0.000
2026-06-09T15:31:37.327000,1781040697.327,82.250,684.800,7,0.000
2026-06-09T15:31:43.375000,1781040703.375,82.250,687.300,7,0.000
2026-06-09T15:31:49.408000,1781040709.408,82.870,688.800,14,0.000
2026-06-09T15:31:56.297000,1781040716.297,81.530,689.800,14,0.000
2026-06-09T15:32:02.349000,1781040722.349,85.990,691.200,13,0.000
2026-06-09T15:32:08.383000,1781040728.383,81.110,690.700,13,0.000
2026-06-09T15:32:15.263000,1781040735.263,82.940,690.100,13,0.000
